rong 容荣融蓉溶绒熔榕戎嵘茸狨肜蝾冗溶
rou 柔揉蹂糅鞣肉柔
ru 如儒茹嚅濡孺蠕薷铷襦颥乳辱乳汝入褥缛洳溽蓐
ruan 软阮朊
rui 蕤蕊瑞锐芮睿枘蚋
run 润闰
ruo 若弱偌箬弱
sa 撒仨挲洒撒萨卅飒脎撒
sai 思塞腮鳃噻赛塞噻
san 三毵散伞馓糁霰散
sang 丧桑嗓搡磉颡丧
sao 骚搔臊缲缫鳋艘扫嫂扫梢臊埽瘙
se 色塞涩瑟啬铯穑
sen 森
seng 僧
sha 杀沙刹纱杉莎煞砂挲鲨痧裟铩傻沙啥厦煞霎嗄歃唼啥
shai 筛酾色晒
shan 山衫删煽扇珊杉栅跚姗潸膻芟埏钐舢苫髟闪陕掺掸单善扇禅擅膳讪汕赡缮嬗掸骟剡苫鄯钐疝蟮鳝闪
shang 商伤汤殇觞熵墒上赏晌垧上尚绱裳上
shao 烧稍梢捎鞘蛸筲艄勺韶苕杓芍少少绍召稍哨邵捎潲劭
she 奢赊猞畲折舌蛇佘舍社设舍涉射摄赦慑麝滠歙厍
shei 谁
shen 身深参申伸绅呻莘娠诜砷糁珅什神甚希审沈婶谂哂渖矧甚慎渗肾蜃葚胂椹神
sheng 生声胜升牲甥笙绳渑省眚胜圣盛乘剩嵊晟生
shi 师诗失施尸湿狮嘘虱蓍酾鲺十时实什识食石拾蚀埘莳炻鲥使始史驶屎矢豕是事世市士式视似示室势试释适氏饰逝誓嗜侍峙仕恃柿轼拭噬弑谥莳贳铈螫舐筮识殖匙十识是食释实势
shou 收熟手首手首守艏受授售瘦寿兽狩绶
shu 书输殊舒叔疏抒淑梳枢蔬倏菽摅姝纾毹殳疋熟孰赎塾秫淑数属署鼠薯暑蜀黍曙数术树述束竖恕墅漱俞戍庶澍沭腧曙
shua 刷唰耍刷
shuai 衰摔甩率帅蟀
shuan 栓拴闩涮
shuang 双霜孀泷爽
shui 谁水水说税睡蜕
shun 吮顺舜瞬顺
shuo 说数朔硕烁铄妁蒴槊搠
si 思斯司私丝撕厮嘶鸶咝澌缌锶蛳死四似食寺肆伺饲嗣巳祀驷泗俟汜兕姒耜笥赐司思死
song 松忪淞崧嵩凇菘耸悚怂竦送宋诵颂讼
sou 搜艘馊嗖溲飕锼螋擞叟薮嗾瞍嗽擞嗽
su 苏稣酥俗诉速素肃宿缩塑溯粟簌夙嗉谡僳愫涑蔌觫诉
suan 酸狻算蒜
sui 虽尿荽睢眭濉随遂隋绥髓岁碎遂祟隧邃穗燧谇
sun 孙荪狲飧损笋榫隼
suo 缩莎梭嗦唆挲娑睃桫嗍蓑羧所索所索锁琐唢嗦
ta 他她它踏塌遢溻铊趿塔鳎獭踏拓榻嗒蹋沓挞闼漯遢
tai 台胎苔台抬苔邰薹骀炱跆鲐呔太态泰汰酞肽钛太
tan 摊贪滩瘫坍谈弹坛谭潭覃痰澹檀昙锬镡郯坦毯忐袒钽探叹炭碳弹
tang 汤趟铴镗耥羰堂唐糖膛塘棠搪溏螳瑭樘镗螗饧醣躺倘淌傥帑趟烫
tao 涛掏滔叨焘韬饕绦逃陶桃淘萄啕洮鼗讨套桃
te 特忑忒慝铽
tei 忒
teng 腾疼藤誊滕
ti 体踢梯剔锑提题啼蹄醍绨缇鹈荑体替涕剃惕屉嚏悌倜逖绨裼
tian 天添田填甜恬佃阗畋钿嗔腆舔忝殄掭
tiao 挑佻祧条调迢鲦苕髫龆蜩笤挑窕跳眺粜
tie 贴帖萜铁帖帖餮铁
ting 听厅汀烃停庭亭婷廷霆蜓葶莛挺艇町铤梃梃
tong 通恫嗵同童彤铜桐瞳佟酮侗仝垌茼峒潼砼硐统筒桶捅侗同通痛恸同筒
tou 偷头投骰钭透头
tu 突秃凸图途徒屠涂荼菟酴凃土吐钍吐兔堍菟
tuan 湍团抟疃彖
tui 推忒颓腿退褪蜕煺
tun 吞暾屯饨臀囤豚炖氽饨
tuo 托脱拖乇扥陀舵驼砣驮沱跎坨鸵橐佗铊酡柁鼍托妥椭庹魄拓唾柝箨
wa 挖哇凹娲蛙洼娃瓦瓦佤瓦袜腽哇娃
wai 歪崴外
wan 湾弯蜿剜豌灣完玩顽丸纨芄烷碗婉晚碗挽婉惋宛莞娩畹皖绾琬脘菀浣万腕蔓玩
wang 汪王亡芒往网往网枉惘罔辋魍望王往忘旺妄望枉王
